                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.2892,                 1.3797,                 1.7773,                0.81123,                0.58013,                0.63603,                0.43612,                 1.1526,                 1.0664,                 1.5704,             0.00036385,             0.00036385,             0.00036385
                    113,                   1.29,                  1.412,                 1.8045,                0.80521,                0.60075,                0.63731,                0.43792,                 1.1422,                 1.0387,                 1.5429,             0.00036366,             0.00036366,             0.00036366
                    114,                 1.2941,                 1.4079,                 1.7537,                0.82295,                0.58561,                0.63317,                0.42603,                 1.1881,                 1.1009,                 1.6062,             0.00036347,             0.00036347,             0.00036347
                    115,                 1.2993,                 1.4112,                 1.7848,                0.78317,                0.57052,                0.63187,                0.42924,                 1.1501,                 1.1719,                 1.5607,             0.00036327,             0.00036327,             0.00036327
                    116,                 1.2735,                 1.3774,                 1.7488,                0.80538,                0.59961,                0.66441,                0.45683,                 1.1519,                 1.0838,                 1.5479,             0.00036308,             0.00036308,             0.00036308
                    117,                 1.2999,                 1.3845,                 1.7565,                 0.7844,                0.59277,                0.64786,                 0.4323,                 1.1789,                 1.1549,                 1.5814,             0.00036289,             0.00036289,             0.00036289
                    118,                 1.2816,                 1.3585,                 1.7272,                0.82292,                0.57628,                0.64073,                 0.4267,                 1.2044,                 1.0779,                 1.6059,              0.0003627,              0.0003627,              0.0003627
                    119,                 1.2528,                  1.334,                 1.7347,                0.84608,                0.58391,                0.65817,                0.44706,                 1.1578,                 1.0747,                 1.5911,             0.00036251,             0.00036251,             0.00036251
                    120,                 1.2817,                 1.3584,                 1.7447,                0.82824,                0.59773,                0.63095,                0.42775,                 1.1652,                 1.0811,                 1.5723,             0.00036232,             0.00036232,             0.00036232
                    121,                 1.2286,                 1.3084,                 1.7023,                0.86189,                 0.5767,                0.65311,                 0.4467,                 1.1884,                 1.0249,                 1.5581,             0.00036213,             0.00036213,             0.00036213
                    122,                 1.2575,                 1.3189,                 1.7317,                0.81135,                0.61718,                0.64348,                 0.4243,                 1.2304,                 1.0176,                 1.6063,             0.00036194,             0.00036194,             0.00036194
                    123,                 1.2757,                  1.322,                 1.7331,                0.81605,                0.58136,                0.65119,                 0.4336,                  1.204,                 1.0367,                 1.5851,             0.00036175,             0.00036175,             0.00036175
                    124,                 1.2854,                 1.3696,                 1.7641,                0.78789,                0.55728,                0.63786,                0.42984,                 1.1477,                  1.044,                 1.5767,             0.00036156,             0.00036156,             0.00036156
                    125,                 1.2922,                 1.3478,                 1.7756,                0.79099,                0.56945,                0.64783,                0.44714,                 1.1021,                0.99946,                 1.5122,             0.00036137,             0.00036137,             0.00036137
                    126,                 1.2527,                 1.3105,                 1.7333,                0.76048,                0.61209,                0.64768,                0.43303,                 1.1805,                 1.0432,                 1.5609,             0.00036118,             0.00036118,             0.00036118
                    127,                 1.3132,                 1.3981,                 1.7623,                0.87558,                 0.5694,                0.64878,                0.44132,                  1.167,                 1.0176,                 1.5409,             0.00036099,             0.00036099,             0.00036099
                    128,                 1.2808,                 1.3561,                 1.7406,                0.79918,                 0.5979,                0.65476,                0.45218,                 1.1945,                 1.0988,                 1.5831,              0.0003608,              0.0003608,              0.0003608
                    129,                 1.2257,                 1.2912,                 1.7263,                0.82881,                0.57846,                0.65078,                 0.4536,                 1.1855,                 1.0995,                 1.5904,             0.00036061,             0.00036061,             0.00036061
                    130,                 1.2385,                 1.2968,                 1.7408,                0.80791,                0.52221,                0.62039,                0.42632,                 1.1991,                 1.1758,                 1.6043,             0.00036042,             0.00036042,             0.00036042
                    131,                 1.2658,                 1.2779,                   1.73,                0.77171,                0.57592,                0.64935,                0.43229,                 1.2214,                 1.0494,                 1.6295,             0.00036023,             0.00036023,             0.00036023
                    132,                 1.2437,                 1.2828,                 1.7043,                0.86504,                0.59892,                0.64736,                0.44519,                 1.1487,                0.98478,                 1.5622,             0.00036003,             0.00036003,             0.00036003
                    133,                 1.2612,                 1.3278,                 1.7477,                0.77893,                0.62133,                 0.6576,                  0.458,                 1.1071,                0.96581,                 1.4956,             0.00035984,             0.00035984,             0.00035984
                    134,                 1.2641,                 1.3047,                 1.7365,                0.77826,                 0.6331,                0.65621,                0.44658,                 1.1663,                0.97841,                 1.5307,             0.00035965,             0.00035965,             0.00035965
                    135,                 1.2426,                  1.316,                 1.7287,                0.78589,                0.63555,                0.65713,                 0.4506,                 1.1603,                0.96942,                  1.553,             0.00035946,             0.00035946,             0.00035946
                    136,                 1.2387,                 1.3108,                 1.6878,                0.78346,                0.59184,                0.66056,                0.45477,                 1.1357,                0.98799,                 1.5145,             0.00035927,             0.00035927,             0.00035927
                    137,                 1.2505,                 1.2589,                 1.7175,                 0.8179,                0.58441,                0.67326,                0.44932,                 1.1493,                 0.9677,                 1.5179,             0.00035908,             0.00035908,             0.00035908
                    138,                 1.2413,                  1.255,                 1.7172,                0.77932,                0.64307,                0.67025,                0.46341,                 1.1429,                 0.9679,                 1.5555,             0.00035889,             0.00035889,             0.00035889
                    139,                 1.2518,                 1.2713,                 1.7201,                0.78972,                0.62967,                0.66254,                0.44886,                  1.134,                0.95756,                  1.517,              0.0003587,              0.0003587,              0.0003587
                    140,                 1.2063,                   1.21,                 1.6827,                0.84263,                0.63273,                0.66333,                0.45648,                 1.1507,                0.94529,                 1.5518,             0.00035851,             0.00035851,             0.00035851
