                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.5694,                 1.9415,                 2.1379,                0.65293,                0.43893,                0.44653,                0.28698,                 1.3328,                 1.7021,                 1.7909,             0.00012582,             0.00012582,             0.00012582
                     70,                 1.6195,                 2.0522,                 2.1707,                0.62829,                0.46246,                 0.4568,                0.29126,                 1.3586,                 1.7683,                 1.8069,             0.00012201,             0.00012201,             0.00012201
                     71,                 1.5583,                 1.9833,                 2.1233,                0.63283,                0.46215,                0.45346,                0.29132,                 1.3494,                  1.748,                 1.8044,              0.0001182,              0.0001182,              0.0001182
                     72,                 1.5798,                 1.9723,                 2.1648,                0.65353,                0.42574,                 0.4483,                0.28826,                 1.3691,                 1.7075,                 1.8187,             0.00011438,             0.00011438,             0.00011438
                     73,                 1.5715,                 1.9996,                 2.1189,                0.61685,                0.47431,                0.45845,                0.29224,                  1.379,                 1.6748,                 1.8234,             0.00011057,             0.00011057,             0.00011057
                     74,                 1.5966,                 2.0075,                 2.1537,                0.58494,                0.48207,                 0.4714,                0.30367,                 1.3361,                 1.6688,                 1.7941,             0.00010676,             0.00010676,             0.00010676
                     75,                 1.5404,                 1.9349,                 2.1317,                0.62786,                0.49023,                0.47845,                0.30735,                 1.3615,                 1.6892,                 1.8184,             0.00010295,             0.00010295,             0.00010295
                     76,                 1.5596,                 1.8942,                 2.1276,                0.66987,                0.46999,                 0.4868,                0.31231,                 1.3609,                 1.6543,                 1.8212,             9.9137e-05,             9.9137e-05,             9.9137e-05
                     77,                 1.5622,                 1.9203,                 2.0926,                0.65815,                0.48411,                 0.4909,                 0.3172,                 1.3379,                  1.641,                 1.8002,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     78,                 1.5358,                 1.8692,                 2.0958,                 0.6596,                0.47949,                0.48624,                0.31256,                 1.3507,                 1.6625,                 1.7993,             9.1514e-05,             9.1514e-05,             9.1514e-05
                     79,                 1.5502,                 1.9275,                   2.11,                0.65994,                0.47829,                0.49228,                0.31099,                 1.3818,                 1.6592,                 1.8182,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     80,                 1.5243,                  1.837,                  2.068,                0.67884,                 0.4811,                 0.4958,                0.31657,                 1.3367,                 1.6178,                 1.7759,             8.3891e-05,             8.3891e-05,             8.3891e-05
                     81,                 1.5449,                 1.9703,                  2.107,                0.67724,                0.48468,                 0.5007,                 0.3241,                 1.3142,                 1.5974,                 1.7559,              8.008e-05,              8.008e-05,              8.008e-05
